"sep=,"
"Well Crafted Wine & Beverage Co. inventory as at 2025-09-30"
" "
Warehouse,Account,"Item number","Item type",Supplier,Category,Brand,Name,Batch,SKU,Vintage,Style,Colour,Varieties,Cases,"Items per case","Unit quantity",Unit,"Barrel or tank",Liters,"Unit COGS",COGS,"Pending orders (cases)","Pending orders (unit quantity)","Pending goods received (cases)","Pending goods received (unit quantity)"
Warrenton,"Well Crafted Wine & Beverage Co.",16859,Wine,,"Z- Samples","Armstrong Family Winery","Four Birds",,SAMPLE,2018,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",16856,Wine,,"Z- Samples","Armstrong Family Winery",Fronk,,SAMPLE,2018,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",18212,Wine,"Armstrong Winery",Washington,"Armstrong Family Winery","Sally Mac Cabernet Sauvignon",,WAS1031,2019,,,,2.33,12,28,"750 ml",,21.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",16858,Wine,,"Z- Samples","Armstrong Family Winery",Zinfandel,,,2019,,,,,,1,"750 ml",,0.75,0,0,,0,,0
Warrenton,"Well Crafted Wine & Beverage Co.",21264,Wine,"Armstrong Winery",Washington,Armstrong,Fronk,,WAS1013,2019,,,,1.50,12,18,"750 ml",,13.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24966,Wine,Cordier,,,"Artis NA Brut Blanc",,NON1014,,,,,0.92,12,11,"750 ml",,8.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24965,Wine,Cordier,,,"Artis NA Brut Rose",,NON1013,,,,,39.67,12,476,"750 ml",,357.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24967,Wine,Cordier,,,"Artis NA Chardonnay",,NON1015,,,,,1.00,12,12,"750 ml",,9.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24968,Wine,Cordier,,Artis,"NA Merlot",,NON1016,,,,,2.33,12,28,"750 ml",,21.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28241,Wine,"Legend Australia (USA Wine West)",Australian,Attwoods,"Vin de Folie Rouge",,AUS1048,2024,,,,2.92,12,35,"750 ml",,26.25,0,0,0.00,0,0.00,0
