customerName,invoiceCount,totalValue
"Polo Bar Ralph Lauren",2,10.00
"LIQUIDERIE INC",1,9.67
"Verdugo Vista LLC",3,9.50
"Riley Hunt",2,9.25
"Graham Wine Co.",1,9.00
"D.Vino",2,9.00
"Flatiron Wines NYC",2,9.00
"Hot Chicken LLC",1,9.00
"Ordinem Ecentrici Coctores",2,9.00
"Flowercup Wine",3,9.00
"Convive Wine and Spirits",2,9.00
"1259 Park LLC",1,9.00
"Chef Driven Hospitality",2,9.00
"Jeff Hansen Samples",3,8.75
"Granada Wines and Spirits",2,8.58
"Magic 5 Pie Co.",4,8.00
"Doppio",4,8.00
"Black Cat Wines",3,8.00
"Le Gratin",1,8.00
"Maywood Market",1,8.00
"1996 Corp.",1,8.00
"Domino Wine LLC",2,8.00
"Ten Thousand A.D. LLC",2,8.00
"Supernatural Wine Inc",1,8.00
"The Core Club",2,8.00
"Salvo's Cucina Casalinga",1,8.00
"Horse with No Name",1,8.00
"Fuzi Pasta Co.",1,8.00
"TORTILLAS AND CAVIAR LLC",3,7.67
"Gary's Wine & Marketplace - Closter",2,7.59
"Le Chene",2,7.58
"Hearth",1,7.17
"Fiorino Ristorante & Bar",2,7.00
"Greens Farms Spirit Shop",2,7.00
"Per Se",2,7.00
"Saker Enterprises Management Company Inc",1,7.00
"Midwood Wine Merchants LLC",1,7.00
"Eataly Wine LLC",1,7.00
"Whoopsie Daisy",1,7.00
"Le French Diner",1,7.00
"Press Club Grill",1,7.00
"Palladino's NYC Steak and Seafood",1,7.00
"Racines NYC LLC",4,6.92
"Gather Inc.",2,6.67
"IL VIGNETTO CORP",1,6.42
"Manchester Wine and Liquor",1,6.33
"Popina",2,6.33
"Anton's",2,6.25
"ZZs club New York",2,6.17
"GV Samples - Mike Hoffmann",2,6.16
"Little West Wine and Spirits",1,6.00
"Botanicus Greenpoint, INC",1,6.00
"Fort Greene Wines",2,6.00
"Total Wine & More Norwalk",1,6.00
"Chez Fifi",2,6.00
"Redding Wine & Spirits",2,6.00
"Grain & Vine",2,6.00
"CT Beverage Mart Newington",2,6.00
"Morimoto",1,6.00
"Nippon Naturals LLC",1,6.00
"Pitt's Red Hook LLC",1,6.00
"56 Degrees Wine",1,6.00
"Gran Morsi",1,6.00
"Vintegrity Missouri",1,6.00
"The Noortwyck",1,6.00
"Manhatta",1,6.00
"La Bastide by Andrea Calstier",1,6.00
"Shukette",1,6.00
"CT Beverage Mart Wallingford",1,6.00
"ANTONIO SAMPLES NF",1,6.00
"MISIPASTA",1,6.00
"Sea Grape Wines",2,6.00
"Fulgurances NYC LLC",1,6.00
"CWD Samples- Joe",1,6.00
"Slapthecook LLC",2,6.00
"La Compagnie Flatiron",1,6.00
"Nuyores",2,6.00
"Tribeca Wine Merchants",2,6.00
"Royal Wine Merchants Ltd",1,6.00
"42-44 East Broadway Restaurant Inc",1,6.00
"157 REST LLC",1,6.00
"Juliette Restaurant",1,6.00
"H. J. G. Liquor Inc",1,6.00
"Crossroads Package Store",1,6.00
"City Supermarket",1,6.00
"Broadway Desserts, LTD",1,6.00
"Cafe D'Alsace",1,6.00
"Fig and Grape",1,6.00
"Marseille",1,6.00
"Lucky's Steakhouse",1,6.00
"Long Hill Liquors",2,5.83
"Rhodora Wine Bar",1,5.50
"SHMONÉ",1,5.50
"Jupiter WInes LLC",2,5.25
"Chipandtinanyc LLC",2,5.25
"Le Crocodile 80 Wythe LLC",1,5.25
