Origin,Region,Supplier,Item,Unit,SKU,Frontline WCB Price,Discount WCB Price,BTG- On Premise Only,Special Pricing 1,Terms,,,Female Owned,,,,
California,Paso Robles ,Castoro Cellars,Castoro Zinfandel,0.750,CAL1244,$14.66,13.99,$13.00,$13.33,"2+ cases solid, 3 cases family; or 5 cases with Raywood",$12.66,3 cases solid,Certified Organic,"92 Points (Wine Enthusiast) 2021 ""Best Buy""",,x,
California,Paso Robles ,Castoro Cellars,Kettlebell Cabernet Sauvignon,0.750,CAL1348,$13.33,$12.66,$12.00,$12.00,5+ cases solid,$11.25,20+ cases solid,Certified Organic,,,,x
California,Santa Barbara,Clementine Carter,Clementine Carter Graciano,0.750,CAL1094,$26.67,,$22.00,$23.33,case 1 (2017 vintage only),,,Female Owned/Winemaker,,,,
California,Santa Barbara,Clementine Carter,Clementine Carter Grenache Blanc,0.750,CAL1112,$28.00,,$22.00,,,,,Female Owned/Winemaker,92 Points (Wine Enthusiast / Vinous) 2022,,,
California,Santa Barbara,Clementine Carter,Clementine Carter Grenache Rose ,0.750,CAL1089,$28.00,,$22.00,,,,,Female Owned/Winemaker,,,,
California,Santa Barbara,Clementine Carter,Clementine Carter Mourvedre,0.750,CAL1095,$32.00,,$22.00,,,,,Female Owned/Winemaker,94 Points (Vinous A. Galloni) 2021,,,
California,Santa Barbara,Clementine Carter,Clementine Carter Portico Grenache,0.750,CAL1260,$26.67,,$22.00,,,,,Female Owned/Winemaker,,,,
California,Santa Barbara,Clementine Carter,Clementine Carter Roussanne,0.750,CAL1274,$28.00,,$22.00,,,,,Female Owned/Winemaker,94 Points (Vinous -  A. Galloni) 2021,,,
California,Santa Barbara,Clementine Carter,Clementine Carter Santa Barbara Highlands Grenache,0.750,CAL1093,$32.00,,$22.00,,,,,Female Owned/Winemaker,,,,
California,Santa Barbara,Clementine Carter,Clementine Carter Santa Rita Hills Grenache,0.750,CAL1116,$32.00,,$22.00,,,,,Female Owned/Winemaker,94 Points (Wine Enthusiast) 2022,,,
California,Santa Barbara,Clementine Carter,Feminist Party GSM,0.750,CAL1105,$28.00,,$22.00,,,,,Female Owned/Winemaker,95 Points (Vinous - A. Galloni) 2021,,x,
California,Santa Barbara,Clementine Carter,Sonja & Greg's Cider Factory (All),0.750,CAL1217,$18.66,,,,,,,Female Owned/Winemaker,,,,
California,Santa Barbara,Clementine Carter,Clementine Carter Larner Syrah,0.750,CAL1376,$32.00,,,,,,,,,,,
California,Napa Valley (North Coast),Cobden Wini,Cobden Wini North Coast Brut Cuvee Sparkling,0.750,CAL1353,$43.33,$39.99,$34.00,,,,,,,,,
California,Napa Valley,Cobden Wini,Cobden Wini Sauvignon Blanc,0.750,CAL1368,$39.99,$36.67,$34.00,,,,,,,,,
California,Napa Valley,Cobden Wini,Cobden Wini Old Federal Vineyard Oakville Cabernet Sauvignon,0.750,CAL1354,$73.33,$69.99,$71.40,,,,,,,,,
California,Napa Valley,Cobden Wini,Cobden Wini Old Federal Vineyard Oakville Cabernet Franc,0.750,CAL1355,$105.00,$102.00,$102.00,,,,,,,,,
California,Russian River Valley,Cobden Wini,Cobden Wini Russian River Valley Pinot Noir,0.750,CAL1356,$49.99,$46.67,$46.24,,,,,,,,,
California,Russian River Valley,Cobden Wini,Cobden Wini Paddy's Blend Rose of Pinot Noir,0.750,CAL1352,$39.99,$36.67,$30.60,,,,,,,,,
California,Napa Valley (North Coast),Darms Lane,Darms Lane Cabernet Sauvignon Bon Passe Vineyard,0.750,CAL1153,$49.99,$48.00,,,,,,,,,,
California,Napa Valley (North Coast),Darms Lane,Darms Lane Chardonnay Oak Knoll District,0.750,CAL1152,$25.00,,,,,,,,,,x,
California,Napa Valley (North Coast),Darms Lane,Darms Lane Pinot Noir Russian River Valley,0.750,CAL1154,$29.99,$28.99,,,,,,,,,,
California,Napa Valley (North Coast),Darms Lane,Fortune 1621 Cabernet Sauvignon,0.750,CAL1155,$23.33,$22.66,$20.00,,,,,,,,,
California,Napa Valley (North Coast),Darms Lane,Fortune 1621 Chardonnay,0.750,CAL1156,$17.33,$16.67,$14.00,,,,,,,,,
California,Mendocino,Dogwood & Thistle,Dogwood & Thistle Carignan,0.750,CAL1230,$19.99,$19.33,$14.00,,,,,,,,,
California,Mendocino,Dogwood & Thistle,Dogwood & Thistle Merlot,0.750,CAL1259,$39.99,,,,,,,,,,,
California,Mendocino,Dogwood & Thistle,Dogwood & Thistle Pinot Noir,0.750,CAL1229,$29.99,,,,,,,,,,,
California,Mendocino,Dogwood & Thistle,Dogwood & Thistle Sauvignon Blanc,0.750,CAL1228,$16.67,$15.99,$13.00,,,,,,,,,
California,Lodi,Gnekow Family Winery,Campus Oaks Cabernet Sauvignon,0.750,CAL1222,$8.66,,$7.05,$7.99,3+ cases,,,,,,,
California,Lodi,Gnekow Family Winery,Campus Oaks Chardonnay,0.750,CAL1221,$7.69,,$6.40,$6.40,3+ cases,,,,,,,
California,Lodi,Gnekow Family Winery,Campus Oaks Old Vine Zinfandel,0.750,CAL1220,$8.66,,$7.05,$7.99,3+ cases,,,,,,,
California,Lodi,Gnekow Family Winery,Campus Oaks White Zinfandel,0.750,CAL1219,$7.00,$6.67,$5.15,$5.15,3+ cases,,,,,,,
California,Napa Valley (North Coast),Hendry,Hendry 1.5 L Blocks 7 & 22 Zinfandel,1.500,CAL1212,$66.67,,,,,,,,,,,
California,Napa Valley (North Coast),Hendry,Hendry 1.5 L Cabernet Sauvignon,1.500,CAL1213,$110.00,,,,,,,,,,,
California,Napa Valley (North Coast),Hendry,Hendry 375 ml Blocks 7 & 22 Zinfandel,0.375,CAL1210,$17.99,,,,,,,,,,,
California,Napa Valley (North Coast),Hendry,Hendry 375 ml Cabernet Sauvignon,0.375,CAL1211,$29.99,,,,,,,,,,,
California,Napa Valley (North Coast),Hendry,Hendry 375 ml Pinot Noir,0.375,CAL1209,$17.99,,,,,,,,,,,
California,Napa Valley (North Coast),Hendry,Hendry Albarino,0.750,CAL1206,$22.66,$21.33,$17.75,$19.33,5+ cases,$18.33,10+ cases,,,,,
California,Napa Valley (North Coast),Hendry,Hendry Barrel Fermented Chardonnay,0.750,CAL1208,$32.00,$29.99,,,,,,,,,,
California,Napa Valley (North Coast),Hendry,Hendry Block 28 Zinfandel,0.750,CAL1200,$33.33,$32.00,,,,,,,,,,
California,Napa Valley (North Coast),Hendry,Hendry Block 7&22 Zinfandel,0.750,CAL1201,$33.33,$32.00,$25.25,,,,,,,,,
California,Napa Valley (North Coast),Hendry,Hendry Cabernet Sauvignon,0.750,CAL1205,$59.99,$57.50,,,,,,,94 points (wine enthusiast) 2019,,,
California,Napa Valley (North Coast),Hendry,Hendry HRW Cabernet Sauvignon,0.750,CAL1197,$23.33,$22.66,$22.00,,,,,,,,,
California,Napa Valley (North Coast),Hendry,Hendry HRW Pinot Noir,0.750,CAL1198,$17.67,$16.99,$16.67,,,,,,,,,
California,Napa Valley (North Coast),Hendry,Hendry HRW Zinfandel,0.750,CAL1199,$16.67,$15.99,$15.00,,,,,,,,,
California,Napa Valley (North Coast),Hendry,Hendry Library Release Cabernet Sauvignon,0.750,CAL1214,$60.00,$56.66,,,,,,,,,,
California,Napa Valley (North Coast),Hendry,Hendry Pinot Noir,0.750,CAL1202,$35.00,$34.00,,,,,,,91 points (James Suckling) 2021,,,
California,Napa Valley (North Coast),Hendry,Hendry Primitivo,0.750,CAL1203,$33.33,$32.00,,,,,,,93 points (Wine Enthusiast) 2021,,,
California,Napa Valley (North Coast),Hendry,Hendry RED,0.750,CAL1204,$43.33,$41.50,,,,,,,95 points (Wine Enthusiast) 2020,,,
California,Napa Valley (North Coast),Hendry,Hendry Unoaked Chardonnay,0.750,CAL1207,$22.66,$21.33,$17.67,$19.33,5+ cases,$18.33,10+ cases,,,,,
California,Napa Valley (North Coast),Hertelendy Vineyards,Hertelendy Audere,0.750,CAL1168,$53.33,,,,,,,,,,x,
California,Napa Valley (North Coast),Hertelendy Vineyards,Hertelendy Cabernet Franc,0.750,CAL1196,$99.99,,,,,,,,"95 points (The Wine Independent, Lisa Perotti-Brown) 2020",,x,
California,Napa Valley (North Coast),Hertelendy Vineyards,Hertelendy Cabernet Sauvignon (PRICE CHANGE ON 2018),0.750,CAL1165,99.99 ($112.50 2018),96.67 ($110 2018),,,,,,,"96 Points (The Wine Independent, Lisa Perotti-Brown) 2018. 2015/2016 96 Points (Wine Advocate, Lisa Perotti-Brown)",,,
California,Napa Valley (North Coast),Hertelendy Vineyards,Hertelendy Chardonnay,0.750,CAL1167,$60.00,$56.67,$30.00 (2016 vintage only),,,,,,"95 points 2020 (International Wine Report). 90 points 2016 (Wine Advocate, Erin Brooks)",,,
California,Napa Valley (North Coast),Hertelendy Vineyards,Hertelendy Legend,0.750,CAL1227,$175.00,,,,,,,,"98 points (The Wine Independent, Lisa Perotti-Brown) 2019",,,
California,Napa Valley (North Coast),Hertelendy Vineyards,Hertelendy Signature Mountain Blend,0.750,CAL1166,$99.99,$96.67,,,,,,,"96+ points (Wine Advocate, Joe Czerwinski) 2018",,,
California,Paso Robles ,High Camp,High Camp Cabernet Sauvignon,0.750,CAL1337,$25.33,,,$19.99,3 Cases,$16.67,5+ cases,,,,,
California,Sonoma County,Jeff Cohn Cellars,Jeff Cohn Domaine des Chirats Syrah,0.750,CAL1290,$76.66,,,,,,,,,,,
California,Sonoma County,Jeff Cohn Cellars,Jeff Cohn Les Inseparables,0.750,CAL1345,$56.66,,,,,,,,,,,
California,Sonoma County,Jeff Cohn Cellars,Jeff Cohn Pure Pink,0.750,CAL1346,$26.67,,,,,,,,,,,
California,Sonoma County,Jeff Cohn Cellars,Jeff Cohn Pure Yum Blend,0.750,CAL1292,$35.99,,,,,,,,,,,
California,Sonoma County,Jeff Cohn Cellars,"Jeff Cohn Rockpile Syrah ""Haley's""",0.750,CAL1311,$66.67,,,,,,,,,,,
California,Sonoma County,Jeff Cohn Cellars,Jeff Cohn Rossi Zinfandel,0.750,CAL1294,$39.99,,,,,,,,,,,
California,Sonoma County,Jeff Cohn Cellars,Jeff Cohn Smoke & Mirrors Red Blend,0.750,CAL1313,$23.33,,,,,,,,,,,
California,Sonoma County,Jeff Cohn Cellars,Jeff Cohn St. Peters Church Zinfandel,0.750,CAL1347,$45.00,,,,,,,,,,,
California,Sonoma County,Jeff Cohn Cellars,Jeff Cohn Stagecoach Viognier,0.750,CAL1312,$53.33,,,,,,,,,,,
