Warehouse,Account,Item number,Item type,Supplier,Category,Brand,Name,Batch,SKU,Vintage,Style,Colour,Varieties,Cases,Items per case,Unit quantity,Unit,Barrel or tank,Liters,Unit COGS,COGS,Pending orders (cases),Pending orders (unit quantity),Pending goods received (cases),Pending goods received (unit quantity),Warehouse Location
Warrenton,Well Crafted Wine & Beverage Co.,24082,Wine,Ventura Selections,Italian,Angoris,Villa Locatelli Pinot Grigio,,ITA1138,2021,Still,White,Pinot Grigio,3.42,12,41,750 ml,,30.75,0,0,0,0,0,0,15-D2
Warrenton,Well Crafted Wine & Beverage Co.,25314,Wine,Vino del Sol,Argentine,Anko,Cabernet Sauvignon Flor de Cardon,,ARG1067,2019,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,18-A2
Warrenton,Well Crafted Wine & Beverage Co.,29150,Wine,Vino del Sol,Argentine,Anko,Cabernet Sauvignon Flor de Cardon,,ARG1067,2022,,,,20,12,240,750 ml,,180,0,0,-1.08,-13,0,0,20-B1 / 20-A3
Warrenton,Well Crafted Wine & Beverage Co.,25313,Wine,Vino del Sol,Argentine,Anko,Malbec,,ARG1065,2022,,,,7,12,84,750 ml,,63,0,0,-2.08,-25,0,0,16-F1
Warrenton,Well Crafted Wine & Beverage Co.,28911,Wine,Vino del Sol,Argentine,Anko,Malbec,,ARG1065,2023,,,,7.92,12,95,750 ml,,71.25,0,0,0,0,0,0,16-F1
Warrenton,Well Crafted Wine & Beverage Co.,28910,Wine,Vino del Sol,Argentine,Anko,Malbec Flor de Cardon,,ARG1073,2022,,,,9.08,12,109,750 ml,,81.75,0,0,0,0,0,0,20-A2
Warrenton,Well Crafted Wine & Beverage Co.,25311,Wine,Vino del Sol,Argentine,Anko,Torrontes,,ARG1064,2023,,,,16.33,12,196,750 ml,,147,0,0,-3.17,-38,0,0,13-A
Warrenton,Well Crafted Wine & Beverage Co.,21577,Wine,Antonio Facchin,Italian,Antonio Facchin,Pinot Grigio,,ITA1001,2022,Still,White,,0.67,12,8,750 ml,,6,0,0,0,0,0,0,19-A1
Warrenton,Well Crafted Wine & Beverage Co.,28565,Wine,Antonio Facchin,Italian,Antonio Facchin,Pinot Grigio (screwcap),,ITA1001,2024,Still,White,,133.08,12,1597,750 ml,,"1,197.75",0,0,-1,-12,0,0,13-B / 13-C3 / 12-E3 / 18-C
Warrenton,Well Crafted Wine & Beverage Co.,1978,Wine,Antonio Facchin,Italian,Antonio Facchin,Prosecco Extra Dry,,ITA1003,2021,,,,-2.08,12,-25,750 ml,,-18.75,0,0,0,0,0,0,8-C
Warrenton,Well Crafted Wine & Beverage Co.,24066,Wine,Antonio Facchin,Italian,Antonio Facchin,Prosecco Extra Dry,,ITA1003,2023,,,,0.92,12,11,750 ml,,8.25,0,0,0,0,0,0,13-D2
Warrenton,Well Crafted Wine & Beverage Co.,29318,Wine,Antonio Facchin,Italian,Antonio Facchin,Prosecco Extra Dry,,ITA1003,2024,,,,87.17,12,1046,750 ml,,784.5,0,0,-90,-1080,0,0,16-A / 12-D3 / 18-D
Warrenton,Well Crafted Wine & Beverage Co.,28566,Wine,Antonio Facchin,Italian,Antonio Facchin,Prosecco Rosato,,ITA1002,2024,Sparkling,Rose,,280.25,12,3363,750 ml,,"2,522.25",0,0,0,0,0,0,13-D1 / 13-C3 / 13-D3 / 18-C
Warrenton,Well Crafted Wine & Beverage Co.,16930,Wine,Antonio Facchin,Italian,Antonio Facchin,Prosecco Treviso Screwcap,,ITA1067,NV,,,,112.5,12,1350,750 ml,,"1,012.50",0,0,0,0,0,0,13-D1 / 15-C3
Warrenton,Well Crafted Wine & Beverage Co.,29165,Wine,Sugar Loaf Wines,New Zealand,Apple Tree Lane,Sauvignon Blanc,,NWZ1026,2024,,,,311.67,12,3740,750 ml,,"2,805.00",0,0,0,0,0,0,19-B1 / 19-B2 / 19-B3
Warrenton,Well Crafted Wine & Beverage Co.,28498,Wine,Aratas Winery,Californian,Aratas,Los Carneros Chardonnay,,CAL1061,2024,Still,White,Chardonnay,7.17,12,86,750 ml,,64.5,0,0,0,0,0,0,10-E1
Warrenton,Well Crafted Wine & Beverage Co.,1472,Wine,Well Crafted Wine & Beverage Co.,Californian,Aratas,Napa Valley Petite Sirah,,CAL1062,2010,Still,Red,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,19-A9
Warrenton,Well Crafted Wine & Beverage Co.,20140,Wine,Aratas Winery,Californian,Aratas,Napa Valley Petite Sirah,,CAL1062,2018,Still,Red,Petite Sirah,1.5,12,18,750 ml,,13.5,0,0,0,0,0,0,22-C2
Warrenton,Well Crafted Wine & Beverage Co.,23610,Wine,Aratas Winery,Californian,Aratas,Napa Valley Petite Sirah,,CAL1062,2019,Still,Red,Petite Sirah,5,12,60,750 ml,,45,0,0,0,0,0,0,09-I2
Warrenton,Well Crafted Wine & Beverage Co.,20139,Wine,Aratas Winery,Californian,Aratas,Sauvignon Blanc,,CAL1297,2021,,White,,-0.08,12,-1,750 ml,,-0.75,0,0,0,0,0,0,08-G
Warrenton,Well Crafted Wine & Beverage Co.,24165,Wine,Aratas Winery,Californian,Aratas,Sauvignon Blanc,,CAL1297,2023,,White,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,17-A7
Warrenton,Well Crafted Wine & Beverage Co.,28499,Wine,Aratas Winery,Californian,Aratas,Sauvignon Blanc,,CAL1297,2024,,White,,11,12,132,750 ml,,99,0,0,0,0,0,0,22-B1
Warrenton,Well Crafted Wine & Beverage Co.,30497,Wine,Well Crafted Wine & Beverage Co.,Californian,Aratas,Shake Ridge Petite Sirah,,CAL1063,2013,Still,Red,,13.83,12,166,750 ml,,124.5,0,0,0,0,0,0,10-D1
Warrenton,Well Crafted Wine & Beverage Co.,25503,Wine,Aratas Winery,Californian,Aratas,Shake Ridge Petite Sirah,,CAL1063,2018,Still,Red,Petite Sirah,9,12,108,750 ml,,81,0,0,0,0,0,0,11-D1
Warrenton,Well Crafted Wine & Beverage Co.,24166,Wine,Aratas Winery,Californian,Aratas,Surreptitious Rose,,CAL1298,2023,,,,-0.08,12,-1,750 ml,,-0.75,0,0,0,0,0,0,22-D3
Warrenton,Well Crafted Wine & Beverage Co.,1496,Wine,Well Crafted Wine & Beverage Co.,Californian,Aratas,Veneration Red Blend,,CAL1064,2012,Still,Red,,0.17,12,2,750 ml,,1.5,0,0,0,0,0,0,19-A9
Warrenton,Well Crafted Wine & Beverage Co.,20136,Wine,Aratas Winery,Californian,Aratas,Veneration Red Blend,,CAL1064,2019,Still,Red,,0.33,12,4,750 ml,,3,0,0,0,0,0,0,17-A6
Warrenton,Well Crafted Wine & Beverage Co.,21999,Wine,Aratas Winery,Californian,Aratas,Veneration Red Blend,,CAL1064,2021,Still,Red,,3.25,12,39,750 ml,,29.25,0,0,0,0,0,0,22-D2
Warrenton,Well Crafted Wine & Beverage Co.,19149,Wine,Aresca,Italian,Aresca,Cortese,,ITA1077,2021,,,,1,12,12,750 ml,,9,0,0,0,0,0,0,19-A1
Warrenton,Well Crafted Wine & Beverage Co.,20428,Wine,Aresca,Italian,Aresca,Cortese,,ITA1077,2022,,,,5.83,12,70,750 ml,,52.5,0,0,0,0,0,0,12-G2
Warrenton,Well Crafted Wine & Beverage Co.,14995,Wine,Aresca,Italian,Aresca,Fiore d Atunno Moscato dAsti,,ITA1035,2020,Still,White,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,18-A8
Warrenton,Well Crafted Wine & Beverage Co.,23147,Wine,Aresca,Italian,Aresca,Fiore d Atunno Moscato dAsti,,ITA1035,2023,Still,White,,1.67,12,20,750 ml,,15,0,0,0,0,0,0,10-D2
Warrenton,Well Crafted Wine & Beverage Co.,17075,Wine,,Z- Samples,Armonia,Moscato,,,NV,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,
Warrenton,Well Crafted Wine & Beverage Co.,16857,Wine,,Z- Samples,Armstrong Family WInery,Bogies Blend,,SAMPLE,2017,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,
Warrenton,Well Crafted Wine & Beverage Co.,16855,Wine,,Z- Samples,Armstrong Family Winery,Cabernet Sauvignon,,SAMPLE,2017,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,
