SKU,Product Name,Brand,Well Crafted Bottles,Catalog Available,Inventory Available,Difference,% Error
ITA1112,Imported ITA1112 - Magnolia Montepulciano d'Abruzzo DOC (WINE CLUB ONLY) 2022,Tenuta Talamonti,0,0,0,0,
POR1029,Ruby Port  Mevushal (MD & DC),Quinta da Trovisca,0,0,0,0,
ISR1017,Imported ISR1017 - Lueria Terrace  (MD & DC) 2023,Red Garden Imports,0,0,0,0,
KEG1010,Tapwines Descombe Cabernet Sauvignon Keg,,0,0,0,0,
FRA1158,Imported FRA1158 - Le Petit Jard Bordeaux (MD & DC) 2022,Red Garden Imports,0,0,0,0,
ISR1006,Imported ISR1006 - Adir Dry Riesling Mevushal (MD & DC) 2024,Red Garden Imports,0,0,0,0,
SAF1103,Imported SAF1103 - Sutherland Chardonnay (WINE CLUB ONLY) 2022,Thelema Mountain Vineyards,0,0,0,0,
ISR1007,Imported ISR1007 - Adir Orange Chardonnay Mevushal (MD & DC) 2024,Red Garden Imports,0,0,0,0,
ITA1114,Imported ITA1114 - Magnolia Sangiovese di Chieti (WINE CLUB ONLY) 2022,Tenuta Talamonti,0,0,0,0,
SAF1102,Imported SAF1102 - Sutherland Viognier Roussanne (WINE CLUB ONLY) 2023,Thelema Mountain Vineyards,0,0,0,0,
ITA1113,Imported ITA1113 - Magnolia Pecorino Abruzzo DOC (WINE CLUB ONLY) 2023,Tenuta Talamonti,0,0,0,0,
RIO1019,Imported RIO1019 - Monte Real Garnacha 2020 5001594,Storage- Riojanas,0,0,0,0,
ISR1003,Imported ISR1003 - Adir Sauvignon Blanc Mevushal (MD & DC) 2024,Red Garden Imports,0,0,0,0,
SPA1296,Imported SPA1296 - Bodegas Riojanas Vina Albina Gran Reserva 2016,Bodegas Riojanas1,0,0,0,0,
ISR1012,Imported ISR1012 - Emek Reb Yose Capricorn Merlot Mevushal (MD & DC) 2020,Red Garden Imports,0,0,0,0,
ISR1001,Imported ISR1001 - Adir Kerem Ben Zimra Cabernet Sauvignon  Mevushal (MD & DC),Red Garden Imports,0,0,0,0,
ITA1148,Imported ITA1148 - Gondola Brut Rose (MD & DC) NV,Red Garden Imports,0,0,0,0,
ISR1008,Imported ISR1008 - Bat Shlomo Sauvignon Blanc (MD & DC) 2024,Red Garden Imports,0,0,0,0,
FRA1150,Imported FRA1150 - Chateau de Cor Bugeaud Red  Mevushal (DC & MD),Red Garden Imports,0,0,0,0,
SPA1324,Imported SPA1324 - Chateau Josephine Cabernet Sauvignon Semi Sweet   (MD & DC) 2023,Red Garden Imports,0,0,0,0,
VIR1084,Imported VIR1084 - Endhardt Vineyards Golden Turkey Red 2021,Endhardt Vineyards,0,0,0,0,
ITA1111,Imported ITA1111 - Mauro Molino Barolo La Serra 2020,Mauro Molino - Supplier,0,0,0,0,
ITA1124,Imported ITA1124 - Gondola Prosecco  Mevushal (MD & DC),Red Garden Imports,0,0,0,0,
FRA1155,Imported FRA1155 - Gendraud Patrice Chablis Mevushal (MD & DC),Red Garden Imports,0,0,0,0,
ISR1016,Imported ISR1016 - Adir Kerem Ben Zimra Cabernet Sauvignon (MD & DC),Red Garden Imports,0,0,0,0,
ISR1004,Imported ISR1004 - Adir Colombard Mevushal (MD & DC),Red Garden Imports,0,0,0,0,
ISR1024,Imported ISR1024 - Talpiot Red,Red Garden Imports,0,0,0,0,
RIO1087,Imported RIO1087 - Vina Albina Gran Reserva 2018,Storage- Riojanas,0,0,0,0,
RIO1070,Imported RIO1070 - Monte Real Gran Reserva 2017,Storage- Riojanas,0,0,0,0,
RIO1025,Imported RIO1025 - Monte Real Gran Reserva 1998,Storage- Riojanas,0,0,0,0,
ISR1036,Imported ISR1036 - Lueria Gewurztraminer 2020,Red Garden Imports,0,0,0,0,
SPA1337,Imported SPA1337 - Padre Bendicho Rose Kosher (MD & DC) 2024,Red Garden Imports,0,0,0,0,
VIR1085,Imported VIR1085 - Endhardt Vineyards Blanc de Cab Franc 2022,Endhardt Vineyards,0,0,0,0,
SPA1325,Imported SPA1325 - Padre Bendicho Red Red Kosher (MD & DC) 2023,Red Garden Imports,0,0,0,0,
CAL1390,Imported CAL1390 - TVH LIBRARY Estate Cabernet Sauvignon 2014,The Vineyard House,0,0,0,0,
CAL1388,Imported CAL1388 - Alfaro Family Vineyards Estate Pinot Noir 2023,Alfaro,0,0,0,0,
AUTO-CORAVIN-ARGON-CAPSULES,Imported AUTO-CORAVIN-ARGON-CAPSULES - Coravin Argon Capsules,,0,0,0,0,
AUTO-CHECK-PICK-UP,Imported AUTO-CHECK-PICK-UP - Check Pick Up,,0,0,0,0,
AUTO-INVENTORY-PICK-UP,Imported AUTO-INVENTORY-PICK-UP - Inventory Pick Up,,0,0,0,0,
AUTO-SKYLARK-LAS-AVES-2014,Imported AUTO-SKYLARK-LAS-AVES-2014 - Skylark Las Aves 2014,Skylark,0,0,0,0,
CAL1386,Imported CAL1386 - Castoro Cellars Charbono 2022,,0,0,0,0,
SAF1055,Backsberg Kosher Brut Methode Cap Classique: 50% Chardonnay; 50% Pinot Noir,Backsberg,0,0,0,0,
SAF1052,"Backsberg Klein Babylons Toren Red Blend: 50% Cab, 30% Merlot, 20% Petit Verdot",Backsberg,0,0,0,0,
SPA1181,Alella Marfil Costa del Maresme Garnacha Rose,Alella Vinicola,0,0,0,0,
SPA1198,Ontanon Jose Seleccion,Bodegas Ontanon,0,0,0,0,
SPA1234,17 by Pinea Magnum,Bodegas Pinea,0,0,0,0,
SPA1145,Lolea Mini Red,Park Street (Bodega Barcelona),0,0,0,0,
SPA1177,Lolea Organic,Park Street (Bodega Barcelona),0,0,0,0,
SPA1236,Queiron Ensayos Graciano - No Sulfites,Queiron,0,0,0,0,
SPA1080,Ribera del Guadiana Zaleo Semi Dulce Blanco,Vinaoliva,0,0,0,0,
FRA1043,Chateau La Vallee Saint-Emilion,Cordier USA,0,0,0,0,
FRA1037,Maris Savoir Vellier,Cordier USA,0,0,0,0,
ITA1004,Barone Di Bernaj Nero D'Avola Terre Siciliane,Cantine Madaudo,0,0,0,0,
WAS1011,Armstrong Merlot,Armstrong Winery,0,0,0,0,
CAL1218,Wonderment Wines Cavalier Cuvee,Wonderment Wines,0,0,0,0,
FRA1081,Domaine Borgeot Rully La Chapponniere Blanc,Domaine Borgeot,0,0,0,0,
